Stock Beta,Stock Beta Number,Revenue,Revenue Number,52 Week,52 Week Price,Stock Previous Quarter,Stock Previous Quarter Number,Peer 1 Previous Quarter,Peer 1 Previous Quarter Number,Peer 2 Previous Quarter,Peer 2 Previous Quarter Number,Peer 3 Previous Quarter,Peer 3 Previous Quarter Number,Peer 4 Previous Quarter,Peer 4 Previous Quarter Number
Stock-Beta-Week-25,2.9626448193983004,,,End-of-Day-Close-Price-Week-Ago-25,85.0700,Stock-Previous-Quarter-25,111.0100,Peer-1-Previous-Quarter-25,77.9100,Peer-2-Previous-Quarter-25,216.2100,Peer-3-Previous-Quarter-25,44.0000,Peer-4-Previous-Quarter-68,66.4100
Stock-Beta-Week-26,3.0232917812831945,,,End-of-Day-Close-Price-Week-Ago-26,81.4500,Stock-Previous-Quarter-26,110.6700,Peer-1-Previous-Quarter-26,76.7100,Peer-2-Previous-Quarter-26,212.0000,Peer-3-Previous-Quarter-26,43.1600,Peer-4-Previous-Quarter-67,69.6300
Stock-Beta-Week-27,3.551313110983054,,,End-of-Day-Close-Price-Week-Ago-27,86.8600,Stock-Previous-Quarter-27,110.5400,Peer-1-Previous-Quarter-27,76.8600,Peer-2-Previous-Quarter-27,217.1100,Peer-3-Previous-Quarter-27,43.7200,Peer-4-Previous-Quarter-66,68.2200
Stock-Beta-Week-28,3.3176146138225624,,,End-of-Day-Close-Price-Week-Ago-28,84.2700,Stock-Previous-Quarter-28,110.9200,Peer-1-Previous-Quarter-28,76.6000,Peer-2-Previous-Quarter-28,214.2500,Peer-3-Previous-Quarter-28,43.2800,Peer-4-Previous-Quarter-65,67.5200
Stock-Beta-Week-29,3.5662263827273617,,,End-of-Day-Close-Price-Week-Ago-29,84.4400,Stock-Previous-Quarter-29,111.4600,Peer-1-Previous-Quarter-29,76.9000,Peer-2-Previous-Quarter-29,217.1100,Peer-3-Previous-Quarter-29,42.9000,Peer-4-Previous-Quarter-64,70.5600
Stock-Beta-Week-30,3.352721625366512,,,End-of-Day-Close-Price-Week-Ago-30,90.2500,Stock-Previous-Quarter-30,111.4900,Peer-1-Previous-Quarter-30,77.1900,Peer-2-Previous-Quarter-30,224.2900,Peer-3-Previous-Quarter-30,42.7900,Peer-4-Previous-Quarter-63,69.8900
Stock-Beta-Week-31,2.811349092534418,,,End-of-Day-Close-Price-Week-Ago-31,93.5100,Stock-Previous-Quarter-31,112.6600,Peer-1-Previous-Quarter-31,77.7500,Peer-2-Previous-Quarter-31,222.2800,Peer-3-Previous-Quarter-31,42.8400,Peer-4-Previous-Quarter-62,71.8100
Stock-Beta-Week-32,3.102938842211532,,,End-of-Day-Close-Price-Week-Ago-32,87.3900,Stock-Previous-Quarter-32,112.9100,Peer-1-Previous-Quarter-32,77.4600,Peer-2-Previous-Quarter-32,223.1300,Peer-3-Previous-Quarter-32,42.8400,Peer-4-Previous-Quarter-61,70.4900
Stock-Beta-Week-33,3.2242088899289687,,,End-of-Day-Close-Price-Week-Ago-33,87.2600,Stock-Previous-Quarter-33,115.6900,Peer-1-Previous-Quarter-33,78.8200,Peer-2-Previous-Quarter-33,222.0500,Peer-3-Previous-Quarter-33,44.1900,Peer-4-Previous-Quarter-60,73.3600
Stock-Beta-Week-34,3.174528784078084,,,End-of-Day-Close-Price-Week-Ago-34,91.0100,Stock-Previous-Quarter-34,115.3200,Peer-1-Previous-Quarter-34,79.8300,Peer-2-Previous-Quarter-34,227.9400,Peer-3-Previous-Quarter-34,44.4200,Peer-4-Previous-Quarter-59,72.9800
