Stock Beta,Stock Beta Number,Revenue,Revenue Number,52 Week,52 Week Price,Stock Previous Quarter,Stock Previous Quarter Number,Peer 1 Previous Quarter,Peer 1 Previous Quarter Number,Peer 2 Previous Quarter,Peer 2 Previous Quarter Number,Peer 3 Previous Quarter,Peer 3 Previous Quarter Number,Peer 4 Previous Quarter,Peer 4 Previous Quarter Number
Stock-Beta-Week-16,1.0539375193245526,,,End-of-Day-Close-Price-Week-Ago-16,35.1400,Stock-Previous-Quarter-16,36.2400,Peer-1-Previous-Quarter-16,36.5800,Peer-2-Previous-Quarter-16,346.4500,Peer-3-Previous-Quarter-16,18.3900,Peer-4-Previous-Quarter-77,140.2000
Stock-Beta-Week-17,1.0887681155396896,,,End-of-Day-Close-Price-Week-Ago-17,34.4900,Stock-Previous-Quarter-17,35.8900,Peer-1-Previous-Quarter-17,37.0600,Peer-2-Previous-Quarter-17,341.9400,Peer-3-Previous-Quarter-17,18.3100,Peer-4-Previous-Quarter-76,142.3600
Stock-Beta-Week-18,1.0915881904618863,,,End-of-Day-Close-Price-Week-Ago-18,35.3200,Stock-Previous-Quarter-18,35.2800,Peer-1-Previous-Quarter-18,36.8800,Peer-2-Previous-Quarter-18,336.1400,Peer-3-Previous-Quarter-18,18.4400,Peer-4-Previous-Quarter-75,141.6200
Stock-Beta-Week-19,1.2028596727785257,,,End-of-Day-Close-Price-Week-Ago-19,35.8600,Stock-Previous-Quarter-19,35.5100,Peer-1-Previous-Quarter-19,36.5400,Peer-2-Previous-Quarter-19,335.2600,Peer-3-Previous-Quarter-19,18.3000,Peer-4-Previous-Quarter-74,140.3400
Stock-Beta-Week-20,1.184151669092809,,,End-of-Day-Close-Price-Week-Ago-20,35.6500,Stock-Previous-Quarter-20,35.3100,Peer-1-Previous-Quarter-20,36.6800,Peer-2-Previous-Quarter-20,329.4900,Peer-3-Previous-Quarter-20,18.4300,Peer-4-Previous-Quarter-73,141.4700
Stock-Beta-Week-21,1.1715388167414813,,,End-of-Day-Close-Price-Week-Ago-21,34.5000,Stock-Previous-Quarter-21,35.4700,Peer-1-Previous-Quarter-21,36.5500,Peer-2-Previous-Quarter-21,343.0100,Peer-3-Previous-Quarter-21,18.3200,Peer-4-Previous-Quarter-72,139.5300
Stock-Beta-Week-22,1.1251626463387776,,,End-of-Day-Close-Price-Week-Ago-22,34.0200,Stock-Previous-Quarter-22,35.9000,Peer-1-Previous-Quarter-22,37.5300,Peer-2-Previous-Quarter-22,353.8700,Peer-3-Previous-Quarter-22,18.6100,Peer-4-Previous-Quarter-71,140.0200
Stock-Beta-Week-23,1.0685074924422713,,,End-of-Day-Close-Price-Week-Ago-23,31.0000,Stock-Previous-Quarter-23,36.1900,Peer-1-Previous-Quarter-23,37.9100,Peer-2-Previous-Quarter-23,357.8500,Peer-3-Previous-Quarter-23,18.7100,Peer-4-Previous-Quarter-70,140.9900
Stock-Beta-Week-24,1.1200959948802642,,,End-of-Day-Close-Price-Week-Ago-24,31.9500,Stock-Previous-Quarter-24,37.0800,Peer-1-Previous-Quarter-24,38.1500,Peer-2-Previous-Quarter-24,369.1100,Peer-3-Previous-Quarter-24,18.7700,Peer-4-Previous-Quarter-69,138.9800
Stock-Beta-Week-25,1.1916766274676418,,,End-of-Day-Close-Price-Week-Ago-25,30.4800,Stock-Previous-Quarter-25,37.2300,Peer-1-Previous-Quarter-25,38.2600,Peer-2-Previous-Quarter-25,369.9800,Peer-3-Previous-Quarter-25,18.8100,Peer-4-Previous-Quarter-68,139.4000
Stock-Beta-Week-26,1.1950531701070726,,,End-of-Day-Close-Price-Week-Ago-26,30.0500,Stock-Previous-Quarter-26,36.9500,Peer-1-Previous-Quarter-26,38.4100,Peer-2-Previous-Quarter-26,363.0900,Peer-3-Previous-Quarter-26,18.6600,Peer-4-Previous-Quarter-67,140.0000
Stock-Beta-Week-27,1.3714988943940218,,,End-of-Day-Close-Price-Week-Ago-27,29.2700,Stock-Previous-Quarter-27,36.6300,Peer-1-Previous-Quarter-27,38.3000,Peer-2-Previous-Quarter-27,362.5400,Peer-3-Previous-Quarter-27,18.6600,Peer-4-Previous-Quarter-66,139.0400
Stock-Beta-Week-28,1.2828049518557967,,,End-of-Day-Close-Price-Week-Ago-28,29.3300,Stock-Previous-Quarter-28,37.1700,Peer-1-Previous-Quarter-28,38.8100,Peer-2-Previous-Quarter-28,367.6100,Peer-3-Previous-Quarter-28,18.9100,Peer-4-Previous-Quarter-65,139.9600
Stock-Beta-Week-29,1.331295974422569,,,End-of-Day-Close-Price-Week-Ago-29,31.8400,Stock-Previous-Quarter-29,37.3500,Peer-1-Previous-Quarter-29,38.8800,Peer-2-Previous-Quarter-29,375.0500,Peer-3-Previous-Quarter-29,19.0300,Peer-4-Previous-Quarter-64,144.4800
Stock-Beta-Week-30,1.2860169015401672,,,End-of-Day-Close-Price-Week-Ago-30,34.5200,Stock-Previous-Quarter-30,37.0000,Peer-1-Previous-Quarter-30,38.7400,Peer-2-Previous-Quarter-30,374.8100,Peer-3-Previous-Quarter-30,19.2400,Peer-4-Previous-Quarter-63,148.5700
Stock-Beta-Week-31,1.2995838636468282,,,End-of-Day-Close-Price-Week-Ago-31,35.4300,Stock-Previous-Quarter-31,37.6900,Peer-1-Previous-Quarter-31,38.5300,Peer-2-Previous-Quarter-31,383.2300,Peer-3-Previous-Quarter-31,19.3500,Peer-4-Previous-Quarter-62,148.7700
Stock-Beta-Week-32,1.3100892834341242,,,End-of-Day-Close-Price-Week-Ago-32,35.7600,Stock-Previous-Quarter-32,38.0100,Peer-1-Previous-Quarter-32,39.2800,Peer-2-Previous-Quarter-32,382.6500,Peer-3-Previous-Quarter-32,19.3800,Peer-4-Previous-Quarter-61,149.5600
Stock-Beta-Week-33,1.112365592633697,,,End-of-Day-Close-Price-Week-Ago-33,36.8000,Stock-Previous-Quarter-33,37.8400,Peer-1-Previous-Quarter-33,39.2000,Peer-2-Previous-Quarter-33,377.9100,Peer-3-Previous-Quarter-33,19.2100,Peer-4-Previous-Quarter-60,148.8000
Stock-Beta-Week-34,1.105416498766302,,,End-of-Day-Close-Price-Week-Ago-34,38.6800,Stock-Previous-Quarter-34,39.1200,Peer-1-Previous-Quarter-34,40.2200,Peer-2-Previous-Quarter-34,395.6200,Peer-3-Previous-Quarter-34,19.4400,Peer-4-Previous-Quarter-59,149.9100
Stock-Beta-Week-35,1.0660847609079744,,,End-of-Day-Close-Price-Week-Ago-35,40.0000,Stock-Previous-Quarter-35,39.7200,Peer-1-Previous-Quarter-35,39.8400,Peer-2-Previous-Quarter-35,400.3700,Peer-3-Previous-Quarter-35,19.2600,Peer-4-Previous-Quarter-58,149.6800
Stock-Beta-Week-36,1.0891576304684332,,,End-of-Day-Close-Price-Week-Ago-36,38.2700,Stock-Previous-Quarter-36,39.4200,Peer-1-Previous-Quarter-36,40.3800,Peer-2-Previous-Quarter-36,403.6100,Peer-3-Previous-Quarter-36,19.2500,Peer-4-Previous-Quarter-57,146.9800
Stock-Beta-Week-37,1.1442668132813703,,,End-of-Day-Close-Price-Week-Ago-37,37.5200,Stock-Previous-Quarter-37,39.0600,Peer-1-Previous-Quarter-37,40.3300,Peer-2-Previous-Quarter-37,400.1300,Peer-3-Previous-Quarter-37,19.1500,Peer-4-Previous-Quarter-56,145.9000
Stock-Beta-Week-38,1.1361324016843934,,,End-of-Day-Close-Price-Week-Ago-38,42.6000,Stock-Previous-Quarter-38,39.0900,Peer-1-Previous-Quarter-38,40.3200,Peer-2-Previous-Quarter-38,400.1300,Peer-3-Previous-Quarter-38,19.2600,Peer-4-Previous-Quarter-55,145.1400
Stock-Beta-Week-39,1.3465507222092497,,,End-of-Day-Close-Price-Week-Ago-39,40.9000,Stock-Previous-Quarter-39,38.3600,Peer-1-Previous-Quarter-39,40.0100,Peer-2-Previous-Quarter-39,396.9400,Peer-3-Previous-Quarter-39,19.0700,Peer-4-Previous-Quarter-54,145.1200
Stock-Beta-Week-40,1.2682152423814905,,,End-of-Day-Close-Price-Week-Ago-40,39.9600,Stock-Previous-Quarter-40,37.9000,Peer-1-Previous-Quarter-40,39.8100,Peer-2-Previous-Quarter-40,393.7700,Peer-3-Previous-Quarter-40,18.9700,Peer-4-Previous-Quarter-53,144.3700
Stock-Beta-Week-41,1.4225425112588428,,,End-of-Day-Close-Price-Week-Ago-41,40.2900,Stock-Previous-Quarter-41,38.7600,Peer-1-Previous-Quarter-41,40.5200,Peer-2-Previous-Quarter-41,403.3000,Peer-3-Previous-Quarter-41,19.1600,Peer-4-Previous-Quarter-52,145.8100
