Stock Beta,Stock Beta Number,Revenue,Revenue Number,52 Week,52 Week Price,Stock Previous Quarter,Stock Previous Quarter Number,Peer 1 Previous Quarter,Peer 1 Previous Quarter Number,Peer 2 Previous Quarter,Peer 2 Previous Quarter Number,Peer 3 Previous Quarter,Peer 3 Previous Quarter Number,Peer 4 Previous Quarter,Peer 4 Previous Quarter Number
Stock-Beta-Week-34,0.8626918822765881,,,End-of-Day-Close-Price-Week-Ago-34,104.9400,Stock-Previous-Quarter-34,92.4100,Peer-1-Previous-Quarter-34,66.6300,Peer-2-Previous-Quarter-34,99.4900,Peer-3-Previous-Quarter-34,58.7000,Peer-4-Previous-Quarter-59,97.5300
Stock-Beta-Week-35,0.8567740145365381,,,End-of-Day-Close-Price-Week-Ago-35,103.7800,Stock-Previous-Quarter-35,90.7000,Peer-1-Previous-Quarter-35,65.8600,Peer-2-Previous-Quarter-35,98.2900,Peer-3-Previous-Quarter-35,58.1000,Peer-4-Previous-Quarter-58,96.4900
Stock-Beta-Week-36,0.882148268215159,,,End-of-Day-Close-Price-Week-Ago-36,99.4600,Stock-Previous-Quarter-36,90.9200,Peer-1-Previous-Quarter-36,66.7700,Peer-2-Previous-Quarter-36,99.2600,Peer-3-Previous-Quarter-36,58.2500,Peer-4-Previous-Quarter-57,95.4900
Stock-Beta-Week-37,0.9406970611925288,,,End-of-Day-Close-Price-Week-Ago-37,98.5600,Stock-Previous-Quarter-37,90.4800,Peer-1-Previous-Quarter-37,66.6500,Peer-2-Previous-Quarter-37,99.4700,Peer-3-Previous-Quarter-37,58.0600,Peer-4-Previous-Quarter-56,93.3400
Stock-Beta-Week-38,0.9384200569436366,,,End-of-Day-Close-Price-Week-Ago-38,94.3500,Stock-Previous-Quarter-38,91.0900,Peer-1-Previous-Quarter-38,67.1300,Peer-2-Previous-Quarter-38,100.0400,Peer-3-Previous-Quarter-38,58.6400,Peer-4-Previous-Quarter-55,92.4800
Stock-Beta-Week-39,0.9732765410355105,,,End-of-Day-Close-Price-Week-Ago-39,95.2200,Stock-Previous-Quarter-39,90.5500,Peer-1-Previous-Quarter-39,66.8800,Peer-2-Previous-Quarter-39,99.1100,Peer-3-Previous-Quarter-39,59.5400,Peer-4-Previous-Quarter-54,93.7900
Stock-Beta-Week-40,0.7697361309668059,,,End-of-Day-Close-Price-Week-Ago-40,94.3400,Stock-Previous-Quarter-40,88.4800,Peer-1-Previous-Quarter-40,65.7800,Peer-2-Previous-Quarter-40,97.5500,Peer-3-Previous-Quarter-40,57.7300,Peer-4-Previous-Quarter-53,93.5500
Stock-Beta-Week-41,0.8121714473116823,,,End-of-Day-Close-Price-Week-Ago-41,97.9500,Stock-Previous-Quarter-41,90.3800,Peer-1-Previous-Quarter-41,66.4500,Peer-2-Previous-Quarter-41,99.1800,Peer-3-Previous-Quarter-41,59.5700,Peer-4-Previous-Quarter-52,94.0500
Stock-Beta-Week-42,0.7587512547068412,,,End-of-Day-Close-Price-Week-Ago-42,93.6000,Stock-Previous-Quarter-42,92.2800,Peer-1-Previous-Quarter-42,67.7400,Peer-2-Previous-Quarter-42,100.8200,Peer-3-Previous-Quarter-42,61.6000,Peer-4-Previous-Quarter-51,94.4500
Stock-Beta-Week-43,0.7478186049840907,,,End-of-Day-Close-Price-Week-Ago-43,88.4100,Stock-Previous-Quarter-43,92.5000,Peer-1-Previous-Quarter-43,67.9000,Peer-2-Previous-Quarter-43,101.8100,Peer-3-Previous-Quarter-43,61.7400,Peer-4-Previous-Quarter-50,94.8800
Stock-Beta-Week-44,0.7454415375079017,,,End-of-Day-Close-Price-Week-Ago-44,98.2600,Stock-Previous-Quarter-44,92.1100,Peer-1-Previous-Quarter-44,67.2700,Peer-2-Previous-Quarter-44,100.5800,Peer-3-Previous-Quarter-44,60.2500,Peer-4-Previous-Quarter-49,94.9100
Stock-Beta-Week-45,0.7746623246754714,,,End-of-Day-Close-Price-Week-Ago-45,101.9500,Stock-Previous-Quarter-45,94.5500,Peer-1-Previous-Quarter-45,68.6200,Peer-2-Previous-Quarter-45,102.0400,Peer-3-Previous-Quarter-45,62.0000,Peer-4-Previous-Quarter-48,95.0500
Stock-Beta-Week-46,0.7534235968628266,,,End-of-Day-Close-Price-Week-Ago-46,103.5700,Stock-Previous-Quarter-46,94.6500,Peer-1-Previous-Quarter-46,68.8600,Peer-2-Previous-Quarter-46,102.5400,Peer-3-Previous-Quarter-46,63.1000,Peer-4-Previous-Quarter-47,95.3100
Stock-Beta-Week-47,0.7471308887045179,,,End-of-Day-Close-Price-Week-Ago-47,99.7000,Stock-Previous-Quarter-47,93.9600,Peer-1-Previous-Quarter-47,67.6800,Peer-2-Previous-Quarter-47,102.4500,Peer-3-Previous-Quarter-47,63.6400,Peer-4-Previous-Quarter-46,95.4500
Stock-Beta-Week-48,0.6900581249235384,,,End-of-Day-Close-Price-Week-Ago-48,99.6900,Stock-Previous-Quarter-48,92.8700,Peer-1-Previous-Quarter-48,67.4300,Peer-2-Previous-Quarter-48,101.6400,Peer-3-Previous-Quarter-48,62.6900,Peer-4-Previous-Quarter-45,95.1600
Stock-Beta-Week-49,0.6715006088770735,,,End-of-Day-Close-Price-Week-Ago-49,99.6500,Stock-Previous-Quarter-49,93.0700,Peer-1-Previous-Quarter-49,68.0000,Peer-2-Previous-Quarter-49,101.5800,Peer-3-Previous-Quarter-49,62.4500,Peer-4-Previous-Quarter-44,92.9300
Stock-Beta-Week-50,0.6911863735270459,,,End-of-Day-Close-Price-Week-Ago-50,99.1100,Stock-Previous-Quarter-50,92.9900,Peer-1-Previous-Quarter-50,67.5200,Peer-2-Previous-Quarter-50,101.3400,Peer-3-Previous-Quarter-50,62.5800,Peer-4-Previous-Quarter-43,93.5500
Stock-Beta-Week-51,0.7210479575878528,,,End-of-Day-Close-Price-Week-Ago-51,100.2500,Stock-Previous-Quarter-51,92.3500,Peer-1-Previous-Quarter-51,67.2600,Peer-2-Previous-Quarter-51,101.4200,Peer-3-Previous-Quarter-51,62.3200,Peer-4-Previous-Quarter-42,93.2500
Stock-Beta-Week-52,0.7594585175020642,,,End-of-Day-Close-Price-Week-Ago-52,102.0400,Stock-Previous-Quarter-52,92.7000,Peer-1-Previous-Quarter-52,66.7000,Peer-2-Previous-Quarter-52,101.3700,Peer-3-Previous-Quarter-52,62.4800,Peer-4-Previous-Quarter-41,91.7700
,,,,,,Stock-Previous-Quarter-53,92.6600,Peer-1-Previous-Quarter-53,66.8600,Peer-2-Previous-Quarter-53,100.9900,Peer-3-Previous-Quarter-53,62.9700,Peer-4-Previous-Quarter-40,90.1900
