Stock Beta,Stock Beta Number,Revenue,Revenue Number,52 Week,52 Week Price,Stock Previous Quarter,Stock Previous Quarter Number,Peer 1 Previous Quarter,Peer 1 Previous Quarter Number,Peer 2 Previous Quarter,Peer 2 Previous Quarter Number,Peer 3 Previous Quarter,Peer 3 Previous Quarter Number,Peer 4 Previous Quarter,Peer 4 Previous Quarter Number
Stock-Beta-Week-15,1.7822571503678524,,,End-of-Day-Close-Price-Week-Ago-15,842.5200,Stock-Previous-Quarter-15,818.2600,Peer-1-Previous-Quarter-15,2413.3200,Peer-2-Previous-Quarter-15,122.0300,Peer-3-Previous-Quarter-15,163.1300,Peer-4-Previous-Quarter-78,214.2000
Stock-Beta-Week-16,1.7869912784396362,,,End-of-Day-Close-Price-Week-Ago-16,844.0300,Stock-Previous-Quarter-16,821.2300,Peer-1-Previous-Quarter-16,2415.6800,Peer-2-Previous-Quarter-16,121.7700,Peer-3-Previous-Quarter-16,163.8000,Peer-4-Previous-Quarter-77,215.3200
Stock-Beta-Week-17,1.7673900205438102,,,End-of-Day-Close-Price-Week-Ago-17,833.5500,Stock-Previous-Quarter-17,818.2300,Peer-1-Previous-Quarter-17,2427.4100,Peer-2-Previous-Quarter-17,121.7000,Peer-3-Previous-Quarter-17,162.5000,Peer-4-Previous-Quarter-76,214.0200
Stock-Beta-Week-18,1.8519736126346404,,,End-of-Day-Close-Price-Week-Ago-18,811.7700,Stock-Previous-Quarter-18,819.9200,Peer-1-Previous-Quarter-18,2429.8600,Peer-2-Previous-Quarter-18,124.3600,Peer-3-Previous-Quarter-18,162.9900,Peer-4-Previous-Quarter-75,210.5100
Stock-Beta-Week-19,1.8390036981195363,,,End-of-Day-Close-Price-Week-Ago-19,827.8000,Stock-Previous-Quarter-19,822.3100,Peer-1-Previous-Quarter-19,2421.3900,Peer-2-Previous-Quarter-19,128.0400,Peer-3-Previous-Quarter-19,165.2000,Peer-4-Previous-Quarter-74,211.4600
Stock-Beta-Week-20,1.807800252444813,,,End-of-Day-Close-Price-Week-Ago-20,858.4100,Stock-Previous-Quarter-20,830.5600,Peer-1-Previous-Quarter-20,2422.1900,Peer-2-Previous-Quarter-20,129.8300,Peer-3-Previous-Quarter-20,168.7200,Peer-4-Previous-Quarter-73,210.2000
Stock-Beta-Week-21,1.7484622728379078,,,End-of-Day-Close-Price-Week-Ago-21,855.9700,Stock-Previous-Quarter-21,828.7200,Peer-1-Previous-Quarter-21,2459.5700,Peer-2-Previous-Quarter-21,132.2100,Peer-3-Previous-Quarter-21,170.2300,Peer-4-Previous-Quarter-72,214.2500
Stock-Beta-Week-22,1.687296776120498,,,End-of-Day-Close-Price-Week-Ago-22,838.2700,Stock-Previous-Quarter-22,839.4400,Peer-1-Previous-Quarter-22,2474.8300,Peer-2-Previous-Quarter-22,133.6900,Peer-3-Previous-Quarter-22,173.6100,Peer-4-Previous-Quarter-71,213.0500
Stock-Beta-Week-23,1.6232005980311388,,,End-of-Day-Close-Price-Week-Ago-23,815.6000,Stock-Previous-Quarter-23,838.0300,Peer-1-Previous-Quarter-23,2520.0000,Peer-2-Previous-Quarter-23,135.1300,Peer-3-Previous-Quarter-23,171.8000,Peer-4-Previous-Quarter-70,217.0600
Stock-Beta-Week-24,1.6098992277858546,,,End-of-Day-Close-Price-Week-Ago-24,815.7400,Stock-Previous-Quarter-24,840.8900,Peer-1-Previous-Quarter-24,2497.3400,Peer-2-Previous-Quarter-24,138.4800,Peer-3-Previous-Quarter-24,170.9300,Peer-4-Previous-Quarter-69,223.0900
Stock-Beta-Week-25,1.639269315378963,,,End-of-Day-Close-Price-Week-Ago-25,836.3000,Stock-Previous-Quarter-25,824.2200,Peer-1-Previous-Quarter-25,2485.6300,Peer-2-Previous-Quarter-25,139.2100,Peer-3-Previous-Quarter-25,170.3100,Peer-4-Previous-Quarter-68,219.9000
Stock-Beta-Week-26,1.934594408924686,,,End-of-Day-Close-Price-Week-Ago-26,744.0700,Stock-Previous-Quarter-26,830.1000,Peer-1-Previous-Quarter-26,2456.3700,Peer-2-Previous-Quarter-26,138.8200,Peer-3-Previous-Quarter-26,176.8600,Peer-4-Previous-Quarter-67,226.9800
Stock-Beta-Week-27,1.794661421694943,,,End-of-Day-Close-Price-Week-Ago-27,731.9100,Stock-Previous-Quarter-27,845.9600,Peer-1-Previous-Quarter-27,2486.5400,Peer-2-Previous-Quarter-27,144.9600,Peer-3-Previous-Quarter-27,178.3400,Peer-4-Previous-Quarter-66,224.9700
Stock-Beta-Week-28,1.9917586351311505,,,End-of-Day-Close-Price-Week-Ago-28,710.7700,Stock-Previous-Quarter-28,831.8200,Peer-1-Previous-Quarter-28,2572.2500,Peer-2-Previous-Quarter-28,140.6300,Peer-3-Previous-Quarter-28,178.8200,Peer-4-Previous-Quarter-65,223.1800
Stock-Beta-Week-29,1.7509518055582427,,,End-of-Day-Close-Price-Week-Ago-29,703.3500,Stock-Previous-Quarter-29,841.1600,Peer-1-Previous-Quarter-29,2540.5600,Peer-2-Previous-Quarter-29,138.8500,Peer-3-Previous-Quarter-29,179.7600,Peer-4-Previous-Quarter-64,221.4900
Stock-Beta-Week-30,1.4774579745325167,,,End-of-Day-Close-Price-Week-Ago-30,688.2300,Stock-Previous-Quarter-30,842.5100,Peer-1-Previous-Quarter-30,2571.4600,Peer-2-Previous-Quarter-30,142.0100,Peer-3-Previous-Quarter-30,173.9100,Peer-4-Previous-Quarter-63,219.6300
Stock-Beta-Week-31,1.5106818751940778,,,End-of-Day-Close-Price-Week-Ago-31,693.5100,Stock-Previous-Quarter-31,860.1300,Peer-1-Previous-Quarter-31,2567.3600,Peer-2-Previous-Quarter-31,143.6200,Peer-3-Previous-Quarter-31,174.3400,Peer-4-Previous-Quarter-62,221.6400
Stock-Beta-Week-32,1.12784614433269,,,End-of-Day-Close-Price-Week-Ago-32,721.0200,Stock-Previous-Quarter-32,873.0100,Peer-1-Previous-Quarter-32,2573.1400,Peer-2-Previous-Quarter-32,144.1900,Peer-3-Previous-Quarter-32,180.1400,Peer-4-Previous-Quarter-61,217.4800
Stock-Beta-Week-33,1.1209126502294806,,,End-of-Day-Close-Price-Week-Ago-33,702.7000,Stock-Previous-Quarter-33,862.0000,Peer-1-Previous-Quarter-33,2605.6200,Peer-2-Previous-Quarter-33,149.9900,Peer-3-Previous-Quarter-33,179.1500,Peer-4-Previous-Quarter-60,221.7400
Stock-Beta-Week-34,1.126353425478663,,,End-of-Day-Close-Price-Week-Ago-34,698.7900,Stock-Previous-Quarter-34,861.2300,Peer-1-Previous-Quarter-34,2571.3500,Peer-2-Previous-Quarter-34,150.1900,Peer-3-Previous-Quarter-34,179.6800,Peer-4-Previous-Quarter-59,221.6000
Stock-Beta-Week-35,0.9495718808113995,,,End-of-Day-Close-Price-Week-Ago-35,736.5500,Stock-Previous-Quarter-35,861.0000,Peer-1-Previous-Quarter-35,2580.2700,Peer-2-Previous-Quarter-35,151.2900,Peer-3-Previous-Quarter-35,176.6100,Peer-4-Previous-Quarter-58,220.7400
Stock-Beta-Week-36,0.7672933755580693,,,End-of-Day-Close-Price-Week-Ago-36,731.5900,Stock-Previous-Quarter-36,849.4900,Peer-1-Previous-Quarter-36,2546.2700,Peer-2-Previous-Quarter-36,150.7600,Peer-3-Previous-Quarter-36,175.7900,Peer-4-Previous-Quarter-57,221.0900
Stock-Beta-Week-37,0.7454718393161927,,,End-of-Day-Close-Price-Week-Ago-37,709.0100,Stock-Previous-Quarter-37,825.3200,Peer-1-Previous-Quarter-37,2543.5100,Peer-2-Previous-Quarter-37,152.1900,Peer-3-Previous-Quarter-37,173.0400,Peer-4-Previous-Quarter-56,218.9900
Stock-Beta-Week-38,0.7421946295900905,,,End-of-Day-Close-Price-Week-Ago-38,703.5900,Stock-Previous-Quarter-38,817.0000,Peer-1-Previous-Quarter-38,2513.6900,Peer-2-Previous-Quarter-38,151.8000,Peer-3-Previous-Quarter-38,169.2500,Peer-4-Previous-Quarter-55,214.7300
Stock-Beta-Week-39,0.7422147061578807,,,End-of-Day-Close-Price-Week-Ago-39,688.2000,Stock-Previous-Quarter-39,787.3600,Peer-1-Previous-Quarter-39,2490.2800,Peer-2-Previous-Quarter-39,151.9100,Peer-3-Previous-Quarter-39,169.4600,Peer-4-Previous-Quarter-54,206.8600
Stock-Beta-Week-40,0.7203413788477763,,,End-of-Day-Close-Price-Week-Ago-40,683.2000,Stock-Previous-Quarter-40,801.0200,Peer-1-Previous-Quarter-40,2424.3600,Peer-2-Previous-Quarter-40,148.8200,Peer-3-Previous-Quarter-40,168.9700,Peer-4-Previous-Quarter-53,212.0700
