Stock Beta,Stock Beta Number,Revenue,Revenue Number,52 Week,52 Week Price,Stock Previous Quarter,Stock Previous Quarter Number,Peer 1 Previous Quarter,Peer 1 Previous Quarter Number,Peer 2 Previous Quarter,Peer 2 Previous Quarter Number,Peer 3 Previous Quarter,Peer 3 Previous Quarter Number,Peer 4 Previous Quarter,Peer 4 Previous Quarter Number
Stock-Beta-Week-16,3.2116123136162513,,,End-of-Day-Close-Price-Week-Ago-16,37.1900,Stock-Previous-Quarter-16,37.6200,Peer-1-Previous-Quarter-16,89.6800,Peer-2-Previous-Quarter-16,242.2800,Peer-3-Previous-Quarter-16,115.4900,Peer-4-Previous-Quarter-77,54.5900
Stock-Beta-Week-17,3.259420876341868,,,End-of-Day-Close-Price-Week-Ago-17,38.9900,Stock-Previous-Quarter-17,38.6100,Peer-1-Previous-Quarter-17,87.4500,Peer-2-Previous-Quarter-17,240.6300,Peer-3-Previous-Quarter-17,116.5500,Peer-4-Previous-Quarter-76,52.0400
Stock-Beta-Week-18,3.2006446624918294,,,End-of-Day-Close-Price-Week-Ago-18,41.5000,Stock-Previous-Quarter-18,37.9900,Peer-1-Previous-Quarter-18,82.0100,Peer-2-Previous-Quarter-18,229.6600,Peer-3-Previous-Quarter-18,114.4300,Peer-4-Previous-Quarter-75,52.0700
Stock-Beta-Week-19,3.2598753592106378,,,End-of-Day-Close-Price-Week-Ago-19,44.7200,Stock-Previous-Quarter-19,38.6800,Peer-1-Previous-Quarter-19,82.6700,Peer-2-Previous-Quarter-19,229.6500,Peer-3-Previous-Quarter-19,115.1900,Peer-4-Previous-Quarter-74,51.7200
Stock-Beta-Week-20,3.0358958217028507,,,End-of-Day-Close-Price-Week-Ago-20,42.9800,Stock-Previous-Quarter-20,40.9100,Peer-1-Previous-Quarter-20,84.0300,Peer-2-Previous-Quarter-20,234.3600,Peer-3-Previous-Quarter-20,117.2200,Peer-4-Previous-Quarter-73,50.6800
Stock-Beta-Week-21,2.9731019124815385,,,End-of-Day-Close-Price-Week-Ago-21,44.0000,Stock-Previous-Quarter-21,43.1500,Peer-1-Previous-Quarter-21,85.3700,Peer-2-Previous-Quarter-21,241.8100,Peer-3-Previous-Quarter-21,121.2000,Peer-4-Previous-Quarter-72,51.1900
Stock-Beta-Week-22,3.0592362403326874,,,End-of-Day-Close-Price-Week-Ago-22,43.3500,Stock-Previous-Quarter-22,41.1050,Peer-1-Previous-Quarter-22,82.1100,Peer-2-Previous-Quarter-22,232.8800,Peer-3-Previous-Quarter-22,119.1900,Peer-4-Previous-Quarter-71,49.4300
Stock-Beta-Week-23,2.9659725821295573,,,End-of-Day-Close-Price-Week-Ago-23,38.9700,Stock-Previous-Quarter-23,42.2700,Peer-1-Previous-Quarter-23,81.1600,Peer-2-Previous-Quarter-23,235.5400,Peer-3-Previous-Quarter-23,122.4100,Peer-4-Previous-Quarter-70,50.2000
Stock-Beta-Week-24,2.929103115194944,,,End-of-Day-Close-Price-Week-Ago-24,41.0100,Stock-Previous-Quarter-24,44.0400,Peer-1-Previous-Quarter-24,81.5200,Peer-2-Previous-Quarter-24,238.9000,Peer-3-Previous-Quarter-24,123.6000,Peer-4-Previous-Quarter-69,50.0200
Stock-Beta-Week-25,2.8345563671760505,,,End-of-Day-Close-Price-Week-Ago-25,39.5400,Stock-Previous-Quarter-25,46.2300,Peer-1-Previous-Quarter-25,80.4400,Peer-2-Previous-Quarter-25,233.1400,Peer-3-Previous-Quarter-25,123.7800,Peer-4-Previous-Quarter-68,49.1200
